time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
5,0.1920709982915987,0.01961468,0.0480679005431063,0.005251791,1.8609221365528965,0.188309507,0.0056693708781254,0.001463239,12.307929001708402,0.48238532,0.0737574571813781,0.007192277,0.0096202656357884,0.002476729,0.229084191547746,0.02223971,1.7709158084522552,0.17976029,0.1767813617776847,0.017674712,2.0019628692087053,0.201306458,1.0
6,0.2320802146461952,0.023517109,0.0499540801810782,0.005316439,1.8353309011050205,0.186120712,0.0056421883116255,0.001446662,12.267919785353806,0.478482891,0.0913537146510619,0.008447565,0.014160724292724,0.003124752,0.280338564799012,0.02677831,1.7196614352009894,0.17522169,0.2122773020418455,0.020945695,2.0035583914584896,0.201543869,1.0
7,0.272576292198163,0.027457822,0.0510999371507661,0.005309754,1.81043414961241,0.184032068,0.0055897263412749,0.001429174,12.227423707801837,0.474542178,0.1078397450849777,0.009536514,0.0192639379793297,0.003828139,0.3309392709386982,0.031184885,1.6690607290613035,0.170815115,0.2477226278775583,0.024200509,2.0057725038312406,0.201864351,1.0
8,0.3134653442413562,0.031420705,0.0517608961266224,0.005259212,1.7862184147866038,0.182037321,0.0055229920590794,0.001411752,12.186534655758642,0.470579295,0.1230699379997356,0.010459288,0.0247810581597164,0.004562863,0.3806366665075794,0.035442662,1.619363333492423,0.166557338,0.2831612940225606,0.02744609,2.0086467008682423,0.202269564,1.0
9,0.3546522535102008,0.035391109,0.0520983109928254,0.005182219,1.7626711710085197,0.180130685,0.0054487849864232,0.00139492,12.145347746489804,0.466608891,0.1369963084935127,0.01122418,0.0305841030789205,0.005309627,0.4292819233430833,0.039544929,1.5707180766569189,0.162455071,0.3186193654448572,0.030686562,2.0122013214397985,0.202758367,1.0
10,0.3960454150775757,0.039356135,0.0522158311466869,0.005089881,1.739780622083792,0.178306841,0.0053713653835955,0.001378937,12.103954584922429,0.462643865,0.149626144224559,0.011843365,0.0365658010971777,0.006053249,0.476787663579011,0.043490871,1.5232123364209915,0.158509129,0.3541082485968024,0.03392395,2.0164402360641884,0.203327727,1.0
11,0.4375589265756217,0.04330463,0.0521809275730898,0.004989296,1.7175355595265105,0.176560906,0.0052934271908087,0.001363913,12.06244107342438,0.45869537,0.1609975996074606,0.012330549,0.0426374859197991,0.006781932,0.5231047178421248,0.047283104,1.4768952821578785,0.154716896,0.3896280134650137,0.037158785,2.0213550001823304,0.203973404,1.0
12,0.4791134136295219,0.047227059,0.0520379905373785,0.004884989,1.6959252712016002,0.174888401,0.00521667962355,0.001349872,12.02088658637048,0.454772941,0.1711653738063509,0.012699678,0.0487264072441766,0.007486607,0.5682080137244262,0.050926177,1.4317919862755766,0.151073823,0.4251703267617953,0.04039058,2.026928277586944,0.204690453,1.0
13,0.520636135722848,0.051115333,0.0518164671660545,0.004779823,1.674939483153478,0.173285209,0.0051422018382163,0.001336792,11.979363864277152,0.450884667,0.180192228965926,0.012964233,0.0547730788956376,0.008160368,0.6120878240733615,0.054425664,1.3879121759266415,0.147574336,0.460720854988994,0.043618173,2.033136539980688,0.205473575,1.0
14,0.5620607279318567,0.054962634,0.0515360023490439,0.004675582,1.6545683212232882,0.171747542,0.0050706629348762,0.001324627,11.937939272068142,0.447037366,0.1881439643376481,0.013136872,0.0607289163796055,0.008798027,0.6547442493472225,0.057787606,1.345255750652781,0.144212394,0.4962611486173751,0.04683998,2.0399521327755377,0.206317349,1.0
15,0.6033267753505511,0.058763254,0.0512097328485303,0.004573352,1.6348022825988229,0.170271904,0.0050024605452293,0.001313318,11.896673224649447,0.443236746,0.1950864660580451,0.013229269,0.0665542368482545,0.009395765,0.6961836945735278,0.061018175,1.3038163054264758,0.140981825,0.5317700779570673,0.050054171,2.0473448211011167,0.207216392,1.0
,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,15.0,0.501,0.0,0.001,0.0,0.001,0.0,0.001,2.0,0.201,0.0,0.001,2.0,0.201,1.0
1,0.0380250963933271,0.004650017,0.0191122921779041,0.002811504,1.9703766146004844,0.198201224,0.0049263282055141,0.001454199,14.961974903606674,0.497349983,0.0054650540222825,0.001510033,0.0001158331849808,0.001022291,0.0324483034832476,0.004094364,1.9675516965167523,0.197905636,0.0329829350028321,0.004173526,2.000003877808831,0.201000749,1.0
2,0.0759089798588116,0.008288004,0.032459305243987,0.004025935,1.9415946096015535,0.195544529,0.0054117433297419,0.001481431,14.924091020141187,0.493711996,0.0195947523643488,0.002771972,0.0008763275187063,0.001164167,0.0778164912135558,0.008351368,1.9221835087864445,0.193648632,0.0696209090103634,0.007642406,2.000063261941658,0.201011966,1.0
3,0.1141880840991504,0.01198922,0.0405383774682513,0.004704322,1.913505568535033,0.193014514,0.0056577955976255,0.001485131,14.88581191590085,0.49001078,0.0374506057649026,0.004276899,0.0025565066044724,0.001465384,0.1274932750252987,0.012933269,1.8725067249747007,0.189066731,0.1059737818970524,0.011038705,2.000291146029711,0.20105375,1.0
4,0.1530134746216535,0.01576715,0.0455891694002462,0.005071813,1.8860893198000293,0.190605126,0.0057756912968635,0.001477129,14.846986525378345,0.48623285,0.0565710250811739,0.005786456,0.0051603968676305,0.001912897,0.1790536991850521,0.017603156,1.8209463008149476,0.184396844,0.1420773864571594,0.014377125,2.0008143975540524,0.20114658,1.0
5,0.1924092034047396,0.01961468,0.0488112255893749,0.005251791,1.8593304799190813,0.188309507,0.0058190785284052,0.001463239,14.807590796595258,0.48238532,0.0757095326393138,0.007192277,0.008582915919955,0.002476729,0.2312204006115257,0.02223971,1.7687795993884738,0.17976029,0.1780072089563792,0.017674712,2.0017467674038656,0.201306458,1.0
6,0.2323377247540704,0.023517109,0.0508905320858601,0.005316439,1.8332167623256816,0.186120712,0.0058183781864777,0.001446662,14.767662275245923,0.478482891,0.0942118403222242,0.008447565,0.0126836092174958,0.003124752,0.2832708929316088,0.02677831,1.7167291070683903,0.17522169,0.2138357373500968,0.020945695,2.0031788778622563,0.201543869,1.0
7,0.2727323509352848,0.027457822,0.052237179138761,0.005309754,1.8077380767176623,0.184032068,0.005791554965389,0.001429174,14.727267649064716,0.474542178,0.1117367615252351,0.009536514,0.0173199137998603,0.003828139,0.3347797157302694,0.031184885,1.6652202842697297,0.170815115,0.2496208821700352,0.024200509,2.005176513853088,0.201864351,1.0
8,0.3135141249817799,0.031420705,0.0531038172149678,0.005259212,1.7828858785831014,0.182037321,0.0057495246807505,0.001411752,14.68648587501822,0.470579295,0.1281167759562947,0.010459288,0.0223612414592478,0.004562863,0.3854902183112688,0.035442662,1.6145097816887304,0.166557338,0.2854033588417813,0.02744609,2.007782762105634,0.202269564,1.0
