time,adp,sdadp,asa,sdasa,asp,sdasp,aspp,sdaspp,atp,sdatp,hs,sdhs,hsp,sdhsp,nadp,sdnadp,nadph,sdnadph,phos,sdphos,thr,sdthr,V
35,1.3384074939689956,0.121781412,0.0393540839617529,0.003098535,1.3535941652808992,0.150080074,0.0042495692202771,0.001191929,11.161592506031004,0.380218588,0.2006705222871761,0.008754977,0.1317259814548486,0.012569952,1.2931374724127165,0.105628306,0.7068625275872864,0.096371694,1.2024319432938682,0.110019531,2.2704056777950474,0.230304533,1.0
36,1.369088345040241,0.124280403,0.0385422822333259,0.003046865,1.3445653165046951,0.149405822,0.0042283006935825,0.001188706,11.13091165495975,0.377719597,0.1971624390234609,0.008487581,0.1321381301085019,0.012393394,1.312809750105458,0.107138128,0.6871902498945449,0.094861872,1.2327219142381551,0.112698303,2.283363531436437,0.231477631,1.0
37,1.3991373973677823,0.126725069,0.0377172456123904,0.00299671,1.3359390115432677,0.148754488,0.0042071898622399,0.001185623,11.100862602632205,0.375274931,0.1934941440710523,0.008227022,0.1323012627844713,0.012199316,1.3316688468821458,0.108598702,0.6683311531178571,0.093401298,1.26262894472107,0.11534013,2.2963411461265832,0.23263684,1.0
38,1.4285580645802054,0.129116949,0.0368811274894324,0.00294802,1.3277023764237323,0.148125158,0.004186103434332,0.001182668,11.071441935419784,0.372883051,0.1896859516485647,0.007973648,0.1322228118058515,0.011989721,1.3497394974585952,0.110011979,0.6502605025414077,0.091988021,1.2921491493400212,0.11794456,2.3093216291980903,0.233780785,1.0
39,1.4573552392177267,0.131457598,0.0360362255273991,0.002900745,1.3198421815697028,0.147516957,0.0041649255673389,0.001179833,11.04264476078226,0.370542402,0.1857572465481286,0.00772771,0.1319107912569936,0.011766552,1.3670469413235034,0.111379824,0.6329530586764998,0.090620176,1.321279522393394,0.120511213,2.3222886295304392,0.234908203,1.0
40,1.4855351906116088,0.133748579,0.0351849470338242,0.002854839,1.312344899811072,0.14692905,0.0041435583547123,0.001177109,11.01446480938838,0.368251421,0.1817265043777088,0.007489373,0.1313737658634007,0.011531685,1.383616839867032,0.112704024,0.6163831601329711,0.089295976,1.3500178663934956,0.123039785,2.335226324559285,0.236017944,1.0
41,1.5131054567004107,0.135991452,0.0343297715678825,0.002810259,1.305196772017111,0.146360633,0.0041219219521733,0.00117449,10.986894543299575,0.366008548,0.1776113057453084,0.007258733,0.1306208177755041,0.011286921,1.399475181845366,0.113986287,0.6005248181546369,0.088013713,1.378362716972734,0.125530042,2.348119410942023,0.237108965,1.0
42,1.5400747310305651,0.138187772,0.0334732120387127,0.002766964,1.2983838784938506,0.145810939,0.0040999543422997,0.001171967,10.959925268969426,0.363812228,0.1734283456007191,0.00703582,0.1296615107900475,0.011033979,1.4146481796572163,0.11522825,0.5853518203427867,0.08677175,1.4063132658982185,0.127981826,2.360953098734373,0.238180332,1.0
43,1.5664527464370217,0.140339075,0.0326177755843486,0.002724915,1.291892214139014,0.14527923,0.0040776107503055,0.001169534,10.93354725356297,0.361660925,0.1691934389502942,0.006820615,0.1285058516772721,0.010774492,1.4291621591391517,0.116431482,0.5708378408608512,0.085568518,1.433869284009445,0.130395049,2.3737131088987686,0.239231213,1.0
44,1.5922501570581378,0.142446883,0.031765925493019,0.002684076,1.2857077652883826,0.1447648,0.0040548627377299,0.001167186,10.907749842941856,0.359553117,0.1649215241343462,0.006613055,0.1271642484126507,0.010510001,1.443043445702355,0.117597485,0.5569565542976475,0.084402515,1.4610310459077576,0.132769696,2.386385673933875,0.240260882,1.0
